xs ys xt yt xl yl xa ya
0.000000 0.000000 1.000000 0.000000 1.002600 0.000000 1.000000 0.096000
0.000000 0.000000 0.998367 0.063211 1.000294 0.065197 4.372352 0.095938
0.000000 0.000000 0.992815 0.126227 0.992772 0.129201 7.744703 0.095875
0.000000 0.000000 0.983355 0.188804 0.981135 0.191347 11.117055 0.095813
0.000000 0.000000 0.970019 0.250692 0.966218 0.251831 14.489407 0.095750
0.000000 0.000000 0.952860 0.311642 0.948213 0.311028 17.861757 0.095688
0.000000 0.000000 0.931952 0.371412 0.927016 0.369053 21.234108 0.095625
0.000000 0.000000 0.907385 0.429767 0.902518 0.425808 24.606459 0.095563
0.000000 0.000000 0.879262 0.486483 0.874679 0.481099 27.978809 0.095501
0.000000 0.000000 0.847701 0.541342 0.843521 0.534702 31.351160 0.095438
0.000001 0.000000 0.812830 0.594136 0.809115 0.586389 34.723511 0.095376
0.000001 0.000000 0.774794 0.644666 0.771562 0.635940 38.095863 0.095313
0.000001 0.000000 0.733747 0.692742 0.730991 0.683146 41.468216 0.095251
0.000001 0.000000 0.689856 0.738188 0.687550 0.727809 44.840569 0.095188
0.000001 0.000000 0.643297 0.780837 0.641403 0.769745 48.212921 0.095126
0.000001 0.000000 0.594257 0.820537 0.592726 0.808783 51.585274 0.095063
0.000001 0.000000 0.542931 0.857148 0.541711 0.844768 54.957626 0.095001
0.000002 0.000001 0.489520 0.890542 0.488555 0.877555 58.329979 0.094939
0.000002 0.000001 0.434235 0.920608 0.433469 0.907019 61.702332 0.094876
0.000002 0.000001 0.377291 0.947247 0.376667 0.933043 65.074684 0.094814
0.000002 0.000001 0.318906 0.970374 0.318372 0.955531 68.447037 0.094751
0.000002 0.000001 0.259304 0.989922 0.258813 0.974397 71.819389 0.094689
0.000002 0.000001 0.198709 1.005835 0.198220 0.989575 75.191742 0.094626
0.000003 0.000001 0.137350 1.018073 0.136829 1.001009 78.564095 0.094564
0.000003 0.000001 0.075453 1.026612 0.074876 1.008662 81.936447 0.094502
0.000003 0.000002 0.013246 1.031440 0.012600 1.012511 85.308800 0.094439
0.000003 0.000002 -0.049047 1.032562 -0.049763 1.012548 88.681152 0.094377
0.000003 0.000002 -0.111202 1.029993 -0.111976 1.008781 92.053505 0.094314
0.000004 0.000002 -0.172999 1.023766 -0.173805 1.001232 95.425858 0.094252
0.000004 0.000002 -0.234222 1.013924 -0.235018 0.989936 98.798210 0.094189
0.000004 0.000003 -0.294661 1.000525 -0.295389 0.974947 102.170563 0.094127
0.000004 0.000003 -0.354111 0.983635 -0.354694 0.956327 105.542915 0.094064
0.000004 0.000003 -0.412371 0.963338 -0.412717 0.934156 108.915268 0.094002
0.000004 0.000003 -0.469250 0.939723 -0.469246 0.908526 112.287621 0.093940
0.000005 0.000004 -0.524563 0.912893 -0.524079 0.879539 115.659973 0.093877
0.000005 0.000004 -0.578132 0.882960 -0.577019 0.847311 119.032326 0.093815
0.000005 0.000004 -0.629791 0.850045 -0.627878 0.811969 122.404678 0.093752
0.000005 0.000005 -0.679379 0.814276 -0.676478 0.773652 125.777031 0.093690
0.000005 0.000005 -0.726745 0.775793 -0.722648 0.732506 129.149384 0.093627
0.000005 0.000005 -0.771748 0.734738 -0.766230 0.688688 132.521729 0.093565
0.000006 0.000006 -0.814259 0.691263 -0.807074 0.642365 135.894073 0.093503
0.000006 0.000006 -0.854154 0.645525 -0.845042 0.593709 139.266418 0.093440
0.000006 0.000006 -0.891323 0.597685 -0.880006 0.542902 142.638763 0.093378
0.000006 0.000007 -0.925665 0.547911 -0.911851 0.490131 146.011108 0.093315
0.000006 0.000007 -0.957089 0.496372 -0.940473 0.435588 149.383453 0.093253
0.000006 0.000007 -0.985515 0.443243 -0.965780 0.379472 152.755798 0.093190
0.000006 0.000008 -1.010873 0.388699 -0.987692 0.321986 156.128143 0.093128
0.000006 0.000008 -1.033103 0.332918 -1.006141 0.263335 159.500488 0.093066
0.000006 0.000008 -1.052155 0.276081 -1.021074 0.203728 162.872833 0.093003
0.000006 0.000009 -1.067990 0.218368 -1.032447 0.143376 166.245178 0.092941
0.000006 0.000009 -1.080579 0.159960 -1.040231 0.082491 169.617523 0.092878
0.000006 0.000010 -1.089901 0.101038 -1.044408 0.021286 172.989868 0.092816
0.000006 0.000010 -1.095948 0.041782 -1.044973 -0.040027 176.362213 0.092753
0.000006 0.000010 -1.098720 -0.017629 -1.041934 -0.101237 179.734558 0.092691
0.000006 0.000011 -1.098224 -0.077017 -1.035311 -0.162132 183.106903 0.092628
0.000006 0.000011 -1.094480 -0.136206 -1.025136 -0.222506 186.479248 0.092566
0.000006 0.000011 -1.087514 -0.195024 -1.011451 -0.282153 189.851593 0.092504
0.000006 0.000012 -1.077363 -0.253301 -0.994314 -0.340872 193.223938 0.092441
0.000006 0.000012 -1.064070 -0.310868 -0.973789 -0.398466 196.596283 0.092379
0.000006 0.000012 -1.047689 -0.367563 -0.949955 -0.454742 199.968628 0.092316
0.000006 0.000013 -1.028279 -0.423225 -0.922900 -0.509513 203.340973 0.092254
0.000006 0.000013 -1.005908 -0.477700 -0.892722 -0.562600 206.713318 0.092191
0.000006 0.000014 -0.980653 -0.530835 -0.859531 -0.613827 210.085663 0.092129
0.000006 0.000014 -0.952595 -0.582485 -0.823444 -0.663027 213.458008 0.092067
0.000006 0.000014 -0.921824 -0.632509 -0.784588 -0.710041 216.830353 0.092004
0.000006 0.000015 -0.888436 -0.680771 -0.743098 -0.754717 220.202698 0.091942
0.000006 0.000015 -0.852531 -0.727140 -0.699119 -0.796911 223.575043 0.091879
0.000006 0.000015 -0.814220 -0.771491 -0.652801 -0.836490 226.947388 0.091817
0.000005 0.000016 -0.773614 -0.813707 -0.604302 -0.873328 230.319733 0.091754
0.000005 0.000016 -0.730834 -0.853674 -0.553786 -0.907311 233.692078 0.091692
0.000005 0.000016 -0.686002 -0.891287 -0.501424 -0.938331 237.064423 0.091629
0.000005 0.000016 -0.639247 -0.926446 -0.447391 -0.966295 240.436768 0.091567
0.000005 0.000017 -0.590702 -0.959059 -0.391868 -0.991118 243.809113 0.091505
0.000005 0.000017 -0.540505 -0.989041 -0.335037 -1.012724 247.181458 0.091442
0.000005 0.000017 -0.488796 -1.016311 -0.277087 -1.031050 250.553802 0.091380
0.000004 0.000018 -0.435719 -1.040799 -0.218207 -1.046044 253.926147 0.091317
0.000004 0.000018 -0.381422 -1.062441 -0.158591 -1.057664 257.298492 0.091255
0.000004 0.000018 -0.326053 -1.081180 -0.098431 -1.065880 260.670837 0.091192
0.000004 0.000018 -0.269767 -1.096967 -0.037922 -1.070672 264.043182 0.091130
0.000004 0.000019 -0.212717 -1.109760 0.022740 -1.072032 267.415527 0.091068
0.000004 0.000019 -0.155059 -1.119526 0.083362 -1.069963 270.787872 0.091005
0.000003 0.000019 -0.096952 -1.126239 0.143750 -1.064477 274.160217 0.090943
0.000003 0.000019 -0.038554 -1.129880 0.203713 -1.055601 277.532562 0.090880
0.000003 0.000019 0.019977 -1.130439 0.263061 -1.043369 280.904907 0.090818
0.000003 0.000020 0.078479 -1.127914 0.321606 -1.027827 284.277252 0.090755
0.000003 0.000020 0.136794 -1.122312 0.379168 -1.009031 287.649597 0.090693
0.000002 0.000020 0.194762 -1.113645 0.435565 -0.987047 291.021942 0.090631
0.000002 0.000020 0.252225 -1.101936 0.490623 -0.961951 294.394287 0.090568
0.000002 0.000020 0.309026 -1.087213 0.544173 -0.933828 297.766632 0.090506
0.000002 0.000020 0.365010 -1.069516 0.596051 -0.902773 301.138977 0.090443
0.000002 0.000020 0.420021 -1.048888 0.646098 -0.868889 304.511322 0.090381
0.000002 0.000021 0.473910 -1.025385 0.694163 -0.832287 307.883667 0.090318
0.000001 0.000021 0.526527 -0.999066 0.740103 -0.793087 311.256012 0.090256
0.000001 0.000021 0.577726 -0.970000 0.783778 -0.751416 314.628357 0.090193
0.000001 0.000021 0.627367 -0.938264 0.825061 -0.707408 318.000702 0.090131
0.000001 0.000021 0.675310 -0.903941 0.863830 -0.661204 321.373047 0.090069
0.000001 0.000021 0.721422 -0.867122 0.899971 -0.612949 324.745392 0.090006
0.000001 0.000021 0.765573 -0.827904 0.933381 -0.562797 328.117737 0.089944
0.000001 0.000021 0.807640 -0.786391 0.963964 -0.510905 331.490082 0.089881
0.000000 0.000021 0.847503 -0.742695 0.991634 -0.457435 334.862427 0.089819
